Crop,Crop_Year,Season,State,Yield,Rainfall,Avg_ONI,ENSO_Phase,ENSO_Intensity,Rainfall_Category,Year_Weight,Avg_Yield_By_Crop,Yield_Std_By_Crop,Avg_Rainfall_By_Crop,Rainfall_Deviation,Crop_Count,Season_Code
Bajra,1998,Kharif,Andhra Pradesh,0.988235294,603.86,-0.94,La Nina,Moderate,Low,1.0,1.2121,0.6556,684.0636,-80.2,523,1
Bajra,1998,Rabi,Andhra Pradesh,0.905714286,277.78,0.25,El Nino,Weak,Low,1.0,1.2121,0.6556,684.0636,-406.28,523,2
Bajra,1999,Kharif,Andhra Pradesh,0.899444444,426.83,-1.14,La Nina,Strong,Low,1.0,1.2121,0.6556,684.0636,-257.23,523,1
Bajra,1999,Rabi,Andhra Pradesh,0.860909091,210.03,-1.5,La Nina,Strong,Low,1.0,1.2121,0.6556,684.0636,-474.03,523,2
Bajra,2000,Kharif,Andhra Pradesh,1.001666667,728.31,-0.56,La Nina,Moderate,Normal,1.0,1.2121,0.6556,684.0636,44.25,523,1
Bajra,2000,Rabi,Andhra Pradesh,0.883125,137.53,-1.125,La Nina,Strong,Low,1.0,1.2121,0.6556,684.0636,-546.53,523,2
Bajra,2001,Kharif,Andhra Pradesh,0.851764706,503.26,-0.16,Neutral,Weak,Low,1.0,1.2121,0.6556,684.0636,-180.8,523,1
Bajra,2001,Rabi,Andhra Pradesh,0.795,356.02,-0.45,La Nina,Weak,Low,1.0,1.2121,0.6556,684.0636,-328.04,523,2
Bajra,2002,Kharif,Andhra Pradesh,0.706470588,368.88,0.92,El Nino,Moderate,Low,1.0,1.2121,0.6556,684.0636,-315.18,523,1
Bajra,2002,Rabi,Andhra Pradesh,0.594285714,236.12,0.575,Neutral,Moderate,Low,1.0,1.2121,0.6556,684.0636,-447.94,523,2
Bajra,2003,Kharif,Andhra Pradesh,1.072631579,578.76,0.1399999999999999,Neutral,Weak,Low,1.0,1.2121,0.6556,684.0636,-105.3,523,1
Bajra,2003,Rabi,Andhra Pradesh,0.88375,285.159999999999,0.575,El Nino,Moderate,Low,1.0,1.2121,0.6556,684.0636,-398.9,523,2
Bajra,2004,Kharif,Andhra Pradesh,0.86,531.9,0.5599999999999999,El Nino,Moderate,Low,1.0,1.2121,0.6556,684.0636,-152.16,523,1
Bajra,2004,Rabi,Andhra Pradesh,0.661818182,215.11,0.5249999999999999,Neutral,Moderate,Low,1.0,1.2121,0.6556,684.0636,-468.95,523,2
Bajra,2005,Kharif,Andhra Pradesh,0.941666667,594.74,-0.1,Neutral,Weak,Low,2.0,1.2121,0.6556,684.0636,-89.32,523,1
Bajra,2005,Rabi,Andhra Pradesh,0.952307692,407.12,-0.05,El Nino,Weak,Low,2.0,1.2121,0.6556,684.0636,-276.94,523,2
Bajra,2006,Kharif,Andhra Pradesh,0.7375,593.84,0.3399999999999999,Neutral,Weak,Low,2.0,1.2121,0.6556,684.0636,-90.22,523,1
Bajra,2006,Rabi,Andhra Pradesh,0.824545455,249.8,0.0249999999999999,La Nina,Weak,Low,2.0,1.2121,0.6556,684.0636,-434.26,523,2
Bajra,2007,Kharif,Andhra Pradesh,1.391538462,873.719999999999,-0.86,La Nina,Moderate,Normal,2.0,1.2121,0.6556,684.0636,189.66,523,1
Bajra,2007,Rabi,Andhra Pradesh,0.9175,364.56,-0.55,La Nina,Moderate,Low,2.0,1.2121,0.6556,684.0636,-319.5,523,2
Bajra,2008,Kharif,Andhra Pradesh,1.134375,574.45,-0.36,Neutral,Weak,Low,2.0,1.2121,0.6556,684.0636,-109.61,523,1
Bajra,2008,Rabi,Andhra Pradesh,1.1875,283.17,-1.1,La Nina,Strong,Low,2.0,1.2121,0.6556,684.0636,-400.89,523,2
Bajra,2009,Kharif,Andhra Pradesh,1.3,588.01,0.62,El Nino,Moderate,Low,2.0,1.2121,0.6556,684.0636,-96.05,523,1
Bajra,2009,Rabi,Andhra Pradesh,1.296363636,228.51,0.35,La Nina,Weak,Low,2.0,1.2121,0.6556,684.0636,-455.55,523,2
Bajra,2010,Kharif,Andhra Pradesh,1.229444444,845.71,-1.24,La Nina,Strong,Normal,2.0,1.2121,0.6556,684.0636,161.65,523,1
Bajra,2010,Rabi,Andhra Pradesh,1.454545455,408.08,-0.1,El Nino,Weak,Low,2.0,1.2121,0.6556,684.0636,-275.98,523,2
Bajra,2011,Kharif,Andhra Pradesh,1.221764706,525.28,-0.64,La Nina,Moderate,Low,2.0,1.2121,0.6556,684.0636,-158.78,523,1
Bajra,2011,Rabi,Andhra Pradesh,1.235,163.41,-1.05,La Nina,Strong,Low,2.0,1.2121,0.6556,684.0636,-520.65,523,2
Bajra,2012,Kharif,Andhra Pradesh,1.483636364,586.23,0.3,Neutral,Weak,Low,2.0,1.2121,0.6556,684.0636,-97.83,523,1
Bajra,2012,Rabi,Andhra Pradesh,1.4,248.959999999999,-0.325,La Nina,Weak,Low,2.0,1.2121,0.6556,684.0636,-435.1,523,2
Bajra,2013,Kharif,Andhra Pradesh,1.621818182,742.329999999999,-0.26,Neutral,Weak,Normal,2.0,1.2121,0.6556,684.0636,58.27,523,1
Bajra,2013,Rabi,Andhra Pradesh,1.78,308.93,-0.225,Neutral,Weak,Low,2.0,1.2121,0.6556,684.0636,-375.13,523,2
Bajra,2014,Kharif,Andhra Pradesh,1.560909091,559.39,0.24,Neutral,Weak,Low,2.0,1.2121,0.6556,684.0636,-124.67,523,1
Bajra,2014,Rabi,Andhra Pradesh,1.624285714,227.63,0.225,Neutral,Weak,Low,2.0,1.2121,0.6556,684.0636,-456.43,523,2
Bajra,2015,Kharif,Andhra Pradesh,1.908181818,608.36,1.9,El Nino,Strong,Low,3.0,1.2121,0.6556,684.0636,-75.7,523,1
Bajra,2015,Rabi,Andhra Pradesh,1.978333333,338.8,1.6749999999999998,El Nino,Strong,Low,3.0,1.2121,0.6556,684.0636,-345.26,523,2
Bajra,2016,Kharif,Andhra Pradesh,1.744545455,726.59,-0.4,La Nina,Weak,Normal,3.0,1.2121,0.6556,684.0636,42.53,523,1
Bajra,2016,Rabi,Andhra Pradesh,1.827142857,118.83,0.95,El Nino,Moderate,Low,3.0,1.2121,0.6556,684.0636,-565.23,523,2
Bajra,2017,Kharif,Andhra Pradesh,1.854545455,681.1,-0.08,Neutral,Weak,Low,3.0,1.2121,0.6556,684.0636,-2.96,523,1
Bajra,2017,Rabi,Andhra Pradesh,1.833333333,240.27,-0.475,Neutral,Weak,Low,3.0,1.2121,0.6556,684.0636,-443.79,523,2
Bajra,2018,Kharif,Andhra Pradesh,1.300909091,618.42,0.36,Neutral,Weak,Low,3.0,1.2121,0.6556,684.0636,-65.64,523,1
Bajra,2018,Rabi,Andhra Pradesh,1.353333333,168.12,0.1,La Nina,Weak,Low,3.0,1.2121,0.6556,684.0636,-515.94,523,2
Bajra,2019,Kharif,Andhra Pradesh,2.004545455,721.96,0.32,Neutral,Weak,Normal,3.0,1.2121,0.6556,684.0636,37.9,523,1
Bajra,2019,Rabi,Andhra Pradesh,2.48,349.63,0.775,El Nino,Moderate,Low,3.0,1.2121,0.6556,684.0636,-334.43,523,2
Black pepper,2013,Kharif,Andhra Pradesh,0.75,742.329999999999,-0.26,Neutral,Weak,Normal,2.0,0.5958,0.3512,1785.9195,-1043.59,43,1
Brinjal,1997,Kharif,Andhra Pradesh,13.334829,421.52,1.82,El Nino,Strong,Low,1.0,14.2403,1.3453,910.1097,-488.59,240,1
Brinjal,1998,Kharif,Andhra Pradesh,14.676015,603.86,-0.94,La Nina,Moderate,Low,1.0,14.2403,1.3453,910.1097,-306.25,240,1
Brinjal,1999,Kharif,Andhra Pradesh,14.142393,426.83,-1.14,La Nina,Strong,Low,1.0,14.2403,1.3453,910.1097,-483.28,240,1
Brinjal,2000,Kharif,Andhra Pradesh,14.260551,728.31,-0.56,La Nina,Moderate,Normal,1.0,14.2403,1.3453,910.1097,-181.8,240,1
Brinjal,2001,Kharif,Andhra Pradesh,16.044889,503.26,-0.16,Neutral,Weak,Low,1.0,14.2403,1.3453,910.1097,-406.85,240,1
Brinjal,2002,Kharif,Andhra Pradesh,12.534204,368.88,0.92,El Nino,Moderate,Low,1.0,14.2403,1.3453,910.1097,-541.23,240,1
Brinjal,2003,Kharif,Andhra Pradesh,12.933797,578.76,0.1399999999999999,Neutral,Weak,Low,1.0,14.2403,1.3453,910.1097,-331.35,240,1
Brinjal,2004,Kharif,Andhra Pradesh,12.394707,531.9,0.5599999999999999,El Nino,Moderate,Low,1.0,14.2403,1.3453,910.1097,-378.21,240,1
Brinjal,2005,Kharif,Andhra Pradesh,13.718707,594.74,-0.1,Neutral,Weak,Low,2.0,14.2403,1.3453,910.1097,-315.37,240,1
Brinjal,2006,Kharif,Andhra Pradesh,14.426374,593.84,0.3399999999999999,Neutral,Weak,Low,2.0,14.2403,1.3453,910.1097,-316.27,240,1
Brinjal,2007,Kharif,Andhra Pradesh,16.665284,873.719999999999,-0.86,La Nina,Moderate,Normal,2.0,14.2403,1.3453,910.1097,-36.39,240,1
Brinjal,2008,Kharif,Andhra Pradesh,12.984546,574.45,-0.36,Neutral,Weak,Low,2.0,14.2403,1.3453,910.1097,-335.66,240,1
Brinjal,2009,Kharif,Andhra Pradesh,10.399094,588.01,0.62,El Nino,Moderate,Low,2.0,14.2403,1.3453,910.1097,-322.1,240,1
Brinjal,2010,Kharif,Andhra Pradesh,15.041599,845.71,-1.24,La Nina,Strong,Normal,2.0,14.2403,1.3453,910.1097,-64.4,240,1
Brinjal,2011,Kharif,Andhra Pradesh,13.440349,525.28,-0.64,La Nina,Moderate,Low,2.0,14.2403,1.3453,910.1097,-384.83,240,1
Brinjal,2012,Kharif,Andhra Pradesh,14.717207,586.23,0.3,Neutral,Weak,Low,2.0,14.2403,1.3453,910.1097,-323.88,240,1
Brinjal,2013,Kharif,Andhra Pradesh,13.397712,742.329999999999,-0.26,Neutral,Weak,Normal,2.0,14.2403,1.3453,910.1097,-167.78,240,1
Brinjal,2014,Kharif,Andhra Pradesh,15.321822,559.39,0.24,Neutral,Weak,Low,2.0,14.2403,1.3453,910.1097,-350.72,240,1
Brinjal,2015,Kharif,Andhra Pradesh,14.701682,608.36,1.9,El Nino,Strong,Low,3.0,14.2403,1.3453,910.1097,-301.75,240,1
Brinjal,2016,Kharif,Andhra Pradesh,14.027711,726.59,-0.4,La Nina,Weak,Normal,3.0,14.2403,1.3453,910.1097,-183.52,240,1
Brinjal,2017,Kharif,Andhra Pradesh,14.201085,681.1,-0.08,Neutral,Weak,Low,3.0,14.2403,1.3453,910.1097,-229.01,240,1
Brinjal,2018,Kharif,Andhra Pradesh,14.566425,618.42,0.36,Neutral,Weak,Low,3.0,14.2403,1.3453,910.1097,-291.69,240,1
Brinjal,2019,Kharif,Andhra Pradesh,11.714656,721.96,0.32,Neutral,Weak,Normal,3.0,14.2403,1.3453,910.1097,-188.15,240,1
Brinjal,2020,Kharif,Andhra Pradesh,14.440436,608.8456521739129,-0.6,La Nina,Moderate,Normal,3.0,14.2403,1.3453,910.1097,-301.26,240,1
Cashewnut,2012,Kharif,Andhra Pradesh,0.278181818,586.23,0.3,Neutral,Weak,Low,2.0,0.7368,0.2941,1259.1486,-672.92,80,1
Cashewnut,2013,Kharif,Andhra Pradesh,0.3225,742.329999999999,-0.26,Neutral,Weak,Normal,2.0,0.7368,0.2941,1259.1486,-516.82,80,1
Cashewnut,2014,Kharif,Andhra Pradesh,0.345833333,559.39,0.24,Neutral,Weak,Low,2.0,0.7368,0.2941,1259.1486,-699.76,80,1
Cashewnut,2015,Kharif,Andhra Pradesh,0.379166667,608.36,1.9,El Nino,Strong,Low,3.0,0.7368,0.2941,1259.1486,-650.79,80,1
Cashewnut,2016,Kharif,Andhra Pradesh,0.445833333,726.59,-0.4,La Nina,Weak,Normal,3.0,0.7368,0.2941,1259.1486,-532.56,80,1
Cashewnut,2017,Kharif,Andhra Pradesh,1.7396,681.1,-0.08,Neutral,Weak,Low,3.0,0.7368,0.2941,1259.1486,-578.05,80,1
Cashewnut,2018,Kharif,Andhra Pradesh,1.2075,618.42,0.36,Neutral,Weak,Low,3.0,0.7368,0.2941,1259.1486,-640.73,80,1
Cashewnut,2019,Kharif,Andhra Pradesh,1.0,721.96,0.32,Neutral,Weak,Normal,3.0,0.7368,0.2941,1259.1486,-537.19,80,1
Castor seed,1997,Kharif,Andhra Pradesh,0.241666667,421.52,1.82,El Nino,Strong,Low,1.0,0.7391,0.4633,933.9333,-512.41,315,1
Castor seed,1998,Kharif,Andhra Pradesh,0.266,603.86,-0.94,La Nina,Moderate,Low,1.0,0.7391,0.4633,933.9333,-330.07,315,1
Castor seed,1999,Kharif,Andhra Pradesh,0.212631579,426.83,-1.14,La Nina,Strong,Low,1.0,0.7391,0.4633,933.9333,-507.1,315,1
Castor seed,2000,Kharif,Andhra Pradesh,0.339047619,728.31,-0.56,La Nina,Moderate,Normal,1.0,0.7391,0.4633,933.9333,-205.62,315,1
Castor seed,2001,Kharif,Andhra Pradesh,0.296842105,503.26,-0.16,Neutral,Weak,Low,1.0,0.7391,0.4633,933.9333,-430.67,315,1
Castor seed,2002,Kharif,Andhra Pradesh,0.296315789,368.88,0.92,El Nino,Moderate,Low,1.0,0.7391,0.4633,933.9333,-565.05,315,1
Castor seed,2003,Kharif,Andhra Pradesh,0.447894737,578.76,0.1399999999999999,Neutral,Weak,Low,1.0,0.7391,0.4633,933.9333,-355.17,315,1
Castor seed,2004,Kharif,Andhra Pradesh,0.484444444,531.9,0.5599999999999999,El Nino,Moderate,Low,1.0,0.7391,0.4633,933.9333,-402.03,315,1
Castor seed,2005,Kharif,Andhra Pradesh,0.462777778,594.74,-0.1,Neutral,Weak,Low,2.0,0.7391,0.4633,933.9333,-339.19,315,1
Castor seed,2006,Kharif,Andhra Pradesh,0.444117647,593.84,0.3399999999999999,Neutral,Weak,Low,2.0,0.7391,0.4633,933.9333,-340.09,315,1
Castor seed,2007,Kharif,Andhra Pradesh,0.563636364,873.719999999999,-0.86,La Nina,Moderate,Normal,2.0,0.7391,0.4633,933.9333,-60.21,315,1
Castor seed,2008,Kharif,Andhra Pradesh,0.586666667,574.45,-0.36,Neutral,Weak,Low,2.0,0.7391,0.4633,933.9333,-359.48,315,1
Castor seed,2009,Kharif,Andhra Pradesh,0.532352941,588.01,0.62,El Nino,Moderate,Low,2.0,0.7391,0.4633,933.9333,-345.92,315,1
Castor seed,2010,Kharif,Andhra Pradesh,0.526875,845.71,-1.24,La Nina,Strong,Normal,2.0,0.7391,0.4633,933.9333,-88.22,315,1
Castor seed,2011,Kharif,Andhra Pradesh,0.402777778,525.28,-0.64,La Nina,Moderate,Low,2.0,0.7391,0.4633,933.9333,-408.65,315,1
Castor seed,2012,Kharif,Andhra Pradesh,0.764,586.23,0.3,Neutral,Weak,Low,2.0,0.7391,0.4633,933.9333,-347.7,315,1
Castor seed,2013,Kharif,Andhra Pradesh,0.737777778,742.329999999999,-0.26,Neutral,Weak,Normal,2.0,0.7391,0.4633,933.9333,-191.6,315,1
Castor seed,2013,Rabi,Andhra Pradesh,0.74,308.93,-0.225,Neutral,Weak,Low,2.0,0.7391,0.4633,933.9333,-625.0,315,2
Castor seed,2014,Kharif,Andhra Pradesh,0.72,559.39,0.24,Neutral,Weak,Low,2.0,0.7391,0.4633,933.9333,-374.54,315,1
Castor seed,2014,Rabi,Andhra Pradesh,0.598333333,227.63,0.225,Neutral,Weak,Low,2.0,0.7391,0.4633,933.9333,-706.3,315,2
Castor seed,2015,Kharif,Andhra Pradesh,0.81125,608.36,1.9,El Nino,Strong,Low,3.0,0.7391,0.4633,933.9333,-325.57,315,1
Castor seed,2015,Rabi,Andhra Pradesh,0.836,338.8,1.6749999999999998,El Nino,Strong,Low,3.0,0.7391,0.4633,933.9333,-595.13,315,2
Castor seed,2016,Kharif,Andhra Pradesh,0.511111111,726.59,-0.4,La Nina,Weak,Normal,3.0,0.7391,0.4633,933.9333,-207.34,315,1
Castor seed,2016,Rabi,Andhra Pradesh,0.52,118.83,0.95,El Nino,Moderate,Low,3.0,0.7391,0.4633,933.9333,-815.1,315,2
Castor seed,2017,Kharif,Andhra Pradesh,0.8425,681.1,-0.08,Neutral,Weak,Low,3.0,0.7391,0.4633,933.9333,-252.83,315,1
Castor seed,2017,Rabi,Andhra Pradesh,0.856,240.27,-0.475,Neutral,Weak,Low,3.0,0.7391,0.4633,933.9333,-693.66,315,2
Castor seed,2018,Kharif,Andhra Pradesh,0.374285714,618.42,0.36,Neutral,Weak,Low,3.0,0.7391,0.4633,933.9333,-315.51,315,1
Castor seed,2018,Rabi,Andhra Pradesh,0.41,168.12,0.1,La Nina,Weak,Low,3.0,0.7391,0.4633,933.9333,-765.81,315,2
Castor seed,2019,Kharif,Andhra Pradesh,0.7625,721.96,0.32,Neutral,Weak,Normal,3.0,0.7391,0.4633,933.9333,-211.97,315,1
Castor seed,2019,Rabi,Andhra Pradesh,0.684,349.63,0.775,El Nino,Moderate,Low,3.0,0.7391,0.4633,933.9333,-584.3,315,2
Citrus,1997,Rabi,Andhra Pradesh,9.680145,260.94,1.82,El Nino,Strong,Low,1.0,9.8407,0.984,236.4494,24.49,216,2
Citrus,1998,Rabi,Andhra Pradesh,11.437022,277.78,-0.94,La Nina,Moderate,Low,1.0,9.8407,0.984,236.4494,41.33,216,2
Citrus,1999,Rabi,Andhra Pradesh,10.25643,210.03,-1.14,La Nina,Strong,Low,1.0,9.8407,0.984,236.4494,-26.42,216,2
Citrus,2000,Rabi,Andhra Pradesh,11.424249,137.53,-0.56,La Nina,Moderate,Low,1.0,9.8407,0.984,236.4494,-98.92,216,2
Citrus,2001,Rabi,Andhra Pradesh,11.411641,356.02,-0.16,Neutral,Weak,Low,1.0,9.8407,0.984,236.4494,119.57,216,2
Citrus,2002,Rabi,Andhra Pradesh,9.371336,236.12,0.92,El Nino,Moderate,Low,1.0,9.8407,0.984,236.4494,-0.33,216,2
Citrus,2003,Rabi,Andhra Pradesh,9.227654,285.159999999999,0.1399999999999999,Neutral,Weak,Low,1.0,9.8407,0.984,236.4494,48.71,216,2
Citrus,2004,Rabi,Andhra Pradesh,8.535144,215.11,0.5599999999999999,El Nino,Moderate,Low,1.0,9.8407,0.984,236.4494,-21.34,216,2
Citrus,2005,Rabi,Andhra Pradesh,9.343125,407.12,-0.1,Neutral,Weak,Low,2.0,9.8407,0.984,236.4494,170.67,216,2
Citrus,2006,Rabi,Andhra Pradesh,9.280115,249.8,0.3399999999999999,Neutral,Weak,Low,2.0,9.8407,0.984,236.4494,13.35,216,2
Citrus,2007,Rabi,Andhra Pradesh,9.713962,364.56,-0.86,La Nina,Moderate,Low,2.0,9.8407,0.984,236.4494,128.11,216,2
Citrus,2008,Rabi,Andhra Pradesh,10.600892,283.17,-0.36,Neutral,Weak,Low,2.0,9.8407,0.984,236.4494,46.72,216,2
Citrus,2009,Rabi,Andhra Pradesh,9.100987,228.51,0.62,El Nino,Moderate,Low,2.0,9.8407,0.984,236.4494,-7.94,216,2
Citrus,2010,Rabi,Andhra Pradesh,11.087496,408.08,-1.24,La Nina,Strong,Low,2.0,9.8407,0.984,236.4494,171.63,216,2
Citrus,2011,Rabi,Andhra Pradesh,10.583808,163.41,-0.64,La Nina,Moderate,Low,2.0,9.8407,0.984,236.4494,-73.04,216,2
